Node ID,Node Path,Query
11058281,Beauty/Makeup,item_type_keyword:makeup
11058291,Beauty/Makeup/Body,item_type_keyword:body-makeup
11058301,Beauty/Makeup/Body/Body Glitter,item_type_keyword:body-glitters
702382011,Beauty/Makeup/Body/Body Paint,item_type_keyword:temporary-tattoos
11058311,Beauty/Makeup/Body/Bronzing Powder,item_type_keyword:body-bronzers
11058321,Beauty/Makeup/Body/Concealer,item_type_keyword:body-concealers-makeup
702383011,Beauty/Makeup/Body/Henna,item_type_keyword:henna-body-paints
702384011,Beauty/Makeup/Body/Temporary Tattoos,item_type_keyword:body-paint-makeup
11059401,Beauty/Makeup/Brushes & Applicators,item_type_keyword:( makeup-brushes OR makeup-applicators )
11059461,Beauty/Makeup/Brushes & Applicators/Brush Cleaners,item_type_keyword:makeup-brush-cleaners
11059411,Beauty/Makeup/Brushes & Applicators/Cheeks,item_type_keyword:cheek-brushes
11059421,"Beauty/Makeup/Brushes & Applicators/Eyes, Lashes & Brows",item_type_keyword:( eye-brushes OR lash-brushes OR brow-brushes )
11059431,Beauty/Makeup/Brushes & Applicators/Face,item_type_keyword:face-brushes
11059441,Beauty/Makeup/Brushes & Applicators/Lips,item_type_keyword:lip-brushes
11059451,Beauty/Makeup/Brushes & Applicators/Sets,item_type_keyword:makeup-brush-sets
11058331,Beauty/Makeup/Eyes,item_type_keyword:eye-makeup
11058341,Beauty/Makeup/Eyes/Concealer & Base,item_type_keyword:eye-makeup-concealers
11058361,Beauty/Makeup/Eyes/Eye Shadow,item_type_keyword:eye-shadows
3782531,Beauty/Makeup/Eyes/Eye Shadow/Eye Gloss,item_type_keyword:eye-glosses
3782571,Beauty/Makeup/Eyes/Eye Shadow/Multicolor Palettes,item_type_keyword:multicolor-eye-makeup-palettes
11058451,Beauty/Makeup/Eyes/Eyebrow Color,item_type_keyword:eyebrow-makeup
11058521,Beauty/Makeup/Eyes/Eyeliner,item_type_keyword:eye-liners
11058381,Beauty/Makeup/Eyes/Liner & Shadow Combinations,item_type_keyword:combination-eye-liners-and-shadows
11058611,Beauty/Makeup/Eyes/Mascara,item_type_keyword:mascara
11058691,Beauty/Makeup/Face,
11058701,Beauty/Makeup/Face/Blotting Paper,item_type_keyword:makeup-blotting-papers
11058711,Beauty/Makeup/Face/Blush,item_type_keyword:face-blushes
11058781,Beauty/Makeup/Face/Bronzers & Highlighters,item_type_keyword:( face-bronzers OR blush-highlighters )
11058791,Beauty/Makeup/Face/Concealers & Neutralizers,item_type_keyword:( concealers-makeup OR neutralizing-makeup )
11058871,Beauty/Makeup/Face/Foundation,item_type_keyword:foundation-makeup
388109011,Beauty/Makeup/Face/Foundation Primers,item_type_keyword:foundation-primers
11058971,Beauty/Makeup/Face/Powder,item_type_keyword:face-powders
11059031,Beauty/Makeup/Lips,item_type_keyword:lip-makeup
11059041,Beauty/Makeup/Lips/Lip Glosses,item_type_keyword:lip-glosses
11059101,Beauty/Makeup/Lips/Lip Liners,item_type_keyword:lip-liners
14104641,Beauty/Makeup/Lips/Lip Plumpers,item_type_keyword:lip-plumpers
11059051,Beauty/Makeup/Lips/Lip Stains,item_type_keyword:lip-stains
11059111,Beauty/Makeup/Lips/Lipstick,item_type_keyword:lipstick
11059221,Beauty/Makeup/Lips/Lipstick Primers,item_type_keyword:lipstick-primers
