Node ID,Node Path,Query
12890751,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Arts & Crafts Tape",item_type_keyword:arts-and-crafts-tapes
12890771,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Fabric Adhesives",item_type_keyword:fabric-adhesives
300341,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Laminating Supplies",item_type_keyword:laminating-supplies
12890791,"Arts, Crafts & Sewing/Craft Supplies/Adhesives/Mounting Adhesive Systems",item_type_keyword:art-mounting-adhesive-systems
12890801,"Arts, Crafts & Sewing/Craft Supplies/Basket Making",item_type_keyword:basketry-supplies
12896011,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Basket Making Kits",item_type_keyword:basketry-kits
12896021,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Coiling Core",item_type_keyword:basketry-coiling-core
12896041,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Plywood Bases",item_type_keyword:basketry-plywood-bases
12896051,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Raffia & Raffia Needles",
2933697011,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Raffia & Raffia Needles/Raffia",item_type_keyword:basketry-raffia
2933698011,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Raffia & Raffia Needles/Raffia Needles",item_type_keyword:raffia-needles
12896031,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Reed",item_type_keyword:basketry-reed
12896061,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Weaving Mats & Strips",
2933700011,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Weaving Mats & Strips/Strips",item_type_keyword:basketry-strips
2933699011,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Weaving Mats & Strips/Weaving Mats",item_type_keyword:basketry-weaving-mats
12896071,"Arts, Crafts & Sewing/Craft Supplies/Basket Making/Wood & Reed Dyes",item_type_keyword:basketry-dyes
3298712011,"Arts, Crafts & Sewing/Craft Supplies/Brads",item_type_keyword:arts-and-crafts-brads
262597011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making",item_type_keyword:candle-making-supplies
262598011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Dyes",item_type_keyword:candle-making-dyes
262599011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Kits",item_type_keyword:candle-making-kits
262600011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Molds",item_type_keyword:candle-making-molds
262601011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Scents",item_type_keyword:candle-making-scents
262602011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Wax",item_type_keyword:candle-making-wax
262603011,"Arts, Crafts & Sewing/Craft Supplies/Candle Making/Wicks",item_type_keyword:candle-making-wicks
12896441,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery",item_type_keyword:ceramic-and-pottery-supplies
12896461,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Ceramic & Pottery Tools",item_type_keyword:ceramic-and-pottery-tools
12896471,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clay Extruders, Mixers & Presses",
2933701011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clay Extruders, Mixers & Presses/Clay Extruders",item_type_keyword:clay-extruders
2933702011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clay Extruders, Mixers & Presses/Clay Mixers",item_type_keyword:clay-mixers
2933703011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clay Extruders, Mixers & Presses/Clay Presses",item_type_keyword:clay-presses
262604011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clay Molds",item_type_keyword:clay-molds
